"E","N"
388837.1,6460683.6
388838.2,6460683.4
388839.4,6460683.3
388850.9,6460683.1
388852.9,6460682.6
388854,6460682.2
388854.6,6460682.1
388855.3,6460681.7
388856.1,6460681.4
388858,6460680.6
388859.7,6460680.2
388862,6460679.2
388866.8,6460675.7
388868.2,6460675.5
388869.6,6460675.1
388871.8,6460674.5
388872,6460674.4
388873,6460674.2
388874.2,6460673.7
388923.5,6460651.2
388924.1,6460650.4
388924.3,6460650.3
388924.7,6460650
388926,6460649.5
388928.6,6460648.2
388928.9,6460647.7
388929.5,6460647.5
388930.1,6460647.1
388931.8,6460646.2
388933.2,6460645.7
388934.7,6460645
388937,6460644
388937.3,6460643.8
388937.7,6460643.7
388939.6,6460642.5
388941,6460641.7
388942,6460641.3
388943.2,6460640.7
388943.7,6460640.5
388944.8,6460640.3
388947.2,6460638.8
388947.2,6460638.7
388947.6,6460638.5
388947.7,6460638.3
388947.8,6460638.3
388949.3,6460637.5
388950,6460637.4
388951.5,6460636.8
388952.7,6460636.1
388953.2,6460635.8
388953.3,6460635.8
388953.6,6460635.7
388953.6,6460637
388958.4,6460638.1
388960.8,6460638
388961.6,6460637.6
388962.5,6460637.5
388964.4,6460636.7
388966.6,6460635.3
388968.3,6460634.2
388970,6460633.4
388972.7,6460632.3
388974.8,6460631.2
388976.2,6460630.5
388977.6,6460629.7
388978.5,6460629.7
388980.2,6460628.1
388982.3,6460627.3
388983.3,6460626.7
388985.7,6460625.2
388988.9,6460624.2
388992,6460622.6
388998.4,6460619.8
389000.1,6460618.3
389001.3,6460617.7
389004.1,6460614.6
389005,6460614
389005.3,6460613.6
389006.1,6460613
389006.8,6460612.2
389008.9,6460610.3
389009.7,6460609.7
389011.3,6460608.4
389012.9,6460607.6
389014.9,6460606.9
389016.5,6460605.8
389018.4,6460604.6
389020.8,6460603.4
389021.1,6460603.2
389021.9,6460602.8
389024.2,6460601.7
389026.6,6460601
389028.7,6460600.3
389029.1,6460600
389031.4,6460599.2
389034.9,6460598
389036.7,6460597.6
389038.2,6460597.6
389038.3,6460598.4
389040,6460600.6
389040.8,6460601.2
389040.9,6460601.3
389042.5,6460605.4
389043.9,6460607.1
389044.4,6460607.9
389044.7,6460608.7
389045,6460609.6
389045.6,6460611.2
389046,6460611.8
389046.2,6460612.1
389047.1,6460613.6
389048.7,6460616.4
389048.9,6460617
389050.2,6460618.9
389051.4,6460620.2
389051.5,6460620.3
389052.3,6460622
389053.6,6460623.8
389055.1,6460626.9
389056.2,6460628.3
389056.3,6460628.8
389057,6460630.4
389057.6,6460631.3
389057.6,6460631.4
389057.7,6460631.7
389057.8,6460632.5
389058,6460634.4
389059.9,6460637.1
389060.2,6460637.3
389060.2,6460637.5
389061,6460639.1
389061.9,6460640.4
389063,6460642
389063.3,6460642.6
389063.9,6460644
389066.3,6460647.1
389069.8,6460647
389072.8,6460646.6
389073.6,6460645.4
389074.5,6460645
389077.4,6460643.1
389077.9,6460639.2
389076.9,6460635.4
389076.3,6460634.3
389075.3,6460631.5
389074.7,6460630.7
389074.7,6460630
389074.8,6460629.2
389074.8,6460629.1
389075,6460627.7
389075.4,6460626.5
389076,6460625.2
389076.2,6460624.4
389076.9,6460622.7
389077.4,6460621.5
389077.6,6460621.1
389079.1,6460618.7
389080.8,6460614.8
389080.9,6460614.4
389081.7,6460612.6
