"Group","Sample","Wt.soil","ICPOES.ID","UTM.E","UTM.N","Long.E.","Lat.S.","x.osm","y.osm","Type","Type.adj","EC","pH","Al.AR","As.AR","B.AR","Ba.AR","Be.AR","Ca.AR","Cd.AR","Ce.AR","Co.AR","Cr.AR","Cu.AR","Fe.AR","Ga.AR","Gd.AR","Ge.AR","K.AR","La.AR","Mg.AR","Mn.AR","Mo.AR","Na.AR","Nb.AR","Nd.AR","Ni.AR","P.AR","Pb.AR","S.AR","Sc.AR","Si.AR","Sr.AR","Th.AR","Ti.AR","V.AR","Y.AR","Zn.AR","Zr.AR","Al","As","B","Ba","Be","Ca","Cd","Ce","Co","Cr","Cu","Fe","Ga","Gd","Ge","K","La","Mg","Mn","Mo","Na","Nb","Nd","Ni","P","Pb","S","Sc","Si","Sr","Th","Ti","V","Y","Zn","Zr","EC.log","pH.pow","Al.pow","As.pow","B.log","Ba.pow","Be.pow","Ca.pow","Cd.pow","Ce.pow","Co.pow","Cr.pow","Cu.log","Fe.log","Ga.pow","Gd.pow","Ge.log","K.log","La.pow","Mg.pow","Mn.log","Mo.pow","Na.log","Nb.log","Nd.pow","Ni.pow","P.log","Pb.pow","S.log","Sc.pow","Si.pow","Sr.pow","Th.log","Ti.log","V.pow","Y.pow","Zn.log","Zr.log","Fe.lohi"
1,1,0.308,"TuesAM.32",391826.9,6465482,115.8555306,-31.9414,12896979,-3755627,"Soil","Soil",178.5,7.08,11409.65731,2.275161911,NA,36.49509915,0.219607925,8060.694353,0.137942275,13.49576614,2.725066763,25.68617578,33.07923478,15664.14473,2.155594221,1.377155222,1.212076274,332.233861,6.947509646,543.5769739,79.55903758,0.965340685,190.1989947,22.2280794,4.19370725,21.98689214,226.4546282,180.3129189,288.5844071,1.436857825,1025.806642,27.49076017,3.80161594,257.1987773,33.15757331,3.859025887,134.3658954,1.872371675,6.029008914,-2.491155275,NA,0.283971487,-4.829117976,5.681548485,-5.294126473,-0.710830478,-2.310713567,-0.067253555,0.185699243,6.34592311,-2.545140068,-2.993186556,-3.120871677,2.492632627,-1.374823224,2.984964828,1.063292863,-3.348480693,1.93486437,-0.211850167,-1.879621367,-0.222760031,2.109338113,1.881487285,2.351781121,-2.950747831,3.620028055,0.00064346,-1.977780271,2.236642744,0.188064652,-1.962791704,1.587360147,-2.686000592,2.25163822,-0.0223,-0.01383,-0.54114,NA,-0.46228,-2.76286,6.52347,-1.49234,-0.17471,-0.57587,-0.31224,1.519555454,4.194906687,1.00998,-0.85632,0.08352995,2.521443893,3.91804,-0.24288,1.900689521,-1.01185,2.279208217,1.346901939,2.55742,-0.43413,2.354981201,-0.39502,2.460272861,1.17516,-8e-05,2.6361,0.57996824,2.4102689,-0.41556,2.21771,2.128289051,0.272392063,"Low_Fe"
1,2,0.302,"TuesAM.33",391837.3,6465479,115.8556361,-31.9415,12896991,-3755631,"Soil","Soil",97.9,7.31,6637.413166,2.47246684,6.167764656,25.37683323,0.068180501,9743.035685,0.1394154,4.375417831,1.352767793,18.28213363,192.4438884,10232.66644,2.686269827,0.61432754,1.071823009,189.4916052,2.272073859,545.2386061,49.98134839,0.609491109,244.2579451,10.45221862,0.991466364,6.844290462,292.3754645,120.6400918,280.2953673,0.702841399,732.0646375,53.49015955,2.241144041,117.8840874,20.65398059,1.96606115,150.7773337,1.065276433,5.87640646,-2.01885475,-1.104734643,0.309765557,-5.609667787,6.260236897,-4.894368436,-1.448069104,-2.621918412,-0.018146844,2.335733499,6.309269351,-1.935917573,-3.411298163,-2.854710178,2.320273601,-2.103378114,3.377152385,0.987578781,-3.419202041,2.574153696,-0.577256859,-2.932641379,-1.000656328,2.753967691,1.868740542,2.711772807,-3.276695142,3.67179769,1.05542658,-2.117084655,1.845630708,0.103836942,-2.248038998,2.091733014,-2.860836796,1.990782692,-0.02096,-0.01773,-0.50855,0.790127794,-0.49974,-6.05221,6.78645,-1.48914,-0.37176,-0.84676,-0.35273,2.284304123,4.009988817,1.01286,-1.26638,0.030123076,2.277589975,1.78279,-0.24271,1.698807968,-1.17989,2.387848699,1.019208485,0.9944,-0.59492,2.465940925,-0.42445,2.44761592,0.85468,-0.00013,3.20273,0.35046977,2.071455186,-0.46795,1.48992,2.178336059,0.027462319,"Low_Fe"
1,3,0.301,"TuesAM.34",391847.8,6465473,115.8557472,-31.9415,12897003,-3755639,"Soil","Soil",66.8,5.61,4747.684168,2.216506717,NA,7.17115686,0.036881164,700.4435278,NA,3.24089483,NA,10.00484061,2.426270622,2264.629399,NA,0.327130607,NA,119.2545672,1.360728227,119.132999,55.81250823,0.289384049,63.26896771,7.616933586,1.053223119,1.056330638,140.6392694,3.475359954,155.5650822,0.379226392,745.3516754,3.404173756,1.142309936,90.54483773,6.918794709,1.003801038,15.70003375,1.034833415,6.147183446,-1.522296383,NA,-0.3481618,-5.618283108,4.233484957,NA,-1.142379315,NA,-0.015159752,-1.431873434,5.406937615,NA,-3.435624567,NA,2.46303164,-2.010208771,2.462011719,1.703769217,-3.558229373,1.829166179,-0.287854917,-2.266373689,-2.263427548,2.62796945,-1.072530731,2.72883539,-3.287850701,4.295627366,-1.093226535,-2.185176317,2.187616384,-0.383987209,-2.314434957,0.435434073,-2.283988327,1.824776462,-0.03506,-0.02067,-0.5518,NA,-0.65535,-9.13722,3.91977,NA,-0.45462,NA,-0.43785,0.38493924,3.354997141,NA,-1.71876,NA,2.076475021,1.24234,-0.3416,1.74673154,-1.51329,1.801190749,0.881780169,1.03455,-0.98531,2.148106602,-0.80033,2.191912123,0.64936,-0.00013,1.43091,0.057783954,1.956863695,-0.61563,1.00224,1.195900586,0.014870444,"Low_Fe"
1,4,0.303,"TuesAM.35",391867.7,6465464,115.8559583,-31.9416,12897026,-3755650,"Soil","Soil",266,6.73,9022.029123,NA,2.330010144,28.74868315,0.112754199,8401.851189,0.15336446,7.869277643,1.288850447,17.6209137,38.55003977,10275.74006,0.863054718,0.78982092,1.207376178,248.7099516,3.937913421,589.5909693,62.37480618,0.616594916,313.2886596,16.57511529,2.300156152,10.45035316,440.0386634,83.80194167,377.3846814,0.934314069,866.8123913,39.08704012,2.360155964,191.8149648,24.42699316,2.426105763,120.4998893,1.517535843,6.049167664,NA,-2.212384261,0.300335081,-5.240801941,5.977950458,-4.933194981,-0.99529061,-2.804506187,-0.189170407,0.59370025,6.17928418,-3.205534067,-3.294205925,-2.869807325,2.458030483,-1.687605887,3.321172142,1.074904565,-3.541799891,2.688868119,-0.25035439,-2.225279869,-0.711621109,3.028605713,1.370199296,2.87500816,-3.126199517,3.706565683,0.607534076,-2.199529179,2.198274301,0.137431916,-2.171969477,1.733391952,-2.641169018,2.424881637,-0.02461,-0.01541,NA,0.367357812,-0.48655,-4.31967,6.5801,-1.46071,-0.25082,-0.86963,-0.35742,1.58602483,4.01181311,0.9981,-1.12116,0.081842603,2.395693163,2.62643,-0.23848,1.795009209,-1.17533,2.495944675,1.219456558,1.72564,-0.53068,2.643490837,-0.45303,2.576784268,0.9702,-0.00011,2.92193,0.372940703,2.282882486,-0.44867,1.68663,2.080986648,0.181138958,"Low_Fe"
1,5,0.301,"TuesAM.36",391882.9,6465453,115.8561194,-31.9417,12897044,-3755663,"Soil","Soil",177.9,6.87,6339.890897,NA,6.337179271,45.92713018,0.108041904,16661.79811,0.141959851,5.894954433,1.383705221,10.7676623,22.34034854,6824.098057,1.162352188,0.528072688,1.216704317,227.9740127,3.401638659,989.5369511,47.50848586,0.512698402,203.7164998,12.12618978,0.676294124,4.497614255,466.3322161,89.99960012,585.159359,0.682889169,765.9518821,81.4096324,1.348814822,131.1010901,19.89366172,2.855037746,129.4716146,1.038746195,5.796055658,NA,-1.112127421,0.868494833,-5.183797308,6.762312659,-4.910772182,-1.184464377,-2.633796337,-0.58201377,0.147833214,5.869654277,-2.808115481,-3.597082519,-2.762415357,2.470670462,-1.734303907,3.938675927,0.902347164,-3.626628698,2.358168139,-0.463193623,-3.349688384,-1.45501409,3.186337109,1.541244046,3.413323038,-3.339983884,3.68255817,1.440932419,-2.659334884,1.917407525,0.031839993,-1.909476117,1.904900484,-2.920546777,2.250175948,-0.02365,-0.01811,NA,0.801895993,-0.44003,-4.44508,7.58978,-1.4837,-0.30442,-0.83629,-0.42646,1.349089944,3.834045259,1.00195,-1.36273,0.085185049,2.357885344,2.36905,-0.21229,1.676771189,-1.25007,2.309026206,1.083724361,0.774,-0.66634,2.668695419,-0.44728,2.767274156,0.84379,-0.00012,3.62137,0.12995233,2.117606303,-0.47237,1.85661,2.112174564,0.016509446,"Low_Fe"
1,6,0.311,"TuesAM.37",391893.5,6465443,115.8562333,-31.9418,12897057,-3755675,"Soil","Soil",86.4,5.81,2339.121222,NA,NA,15.00581547,0.046322732,2885.830047,0.058278465,4.557244005,0.689205384,5.364019973,8.384385174,1973.763764,NA,0.436545375,0.47576079,155.7433106,2.200632017,267.3240247,78.04859123,0.295521759,88.60753608,5.697016312,1.300010447,5.057781868,318.6166453,6.744558988,306.9493021,0.170383192,605.4006279,12.27651929,0.584623437,64.75013884,5.87930964,1.803903933,43.38422762,0.314018862,5.475503862,NA,NA,0.426411095,-5.354149196,5.68554112,-5.124549366,-0.765308673,-2.654242692,-0.60231304,-0.155655661,5.30567081,NA,-3.110889687,-3.024866822,2.766182478,-1.49328213,3.306434769,2.075304868,-3.50103954,2.202190182,-0.542084146,-2.019654429,-0.661098708,3.481961912,-0.373290625,3.444655865,-4.051732037,4.123863704,0.225661708,-2.818814066,1.888509116,-0.510587382,-1.692073561,1.488069227,-3.440328954,1.936513742,-0.03275,-0.0286,NA,NA,-0.55936,-7.84245,5.26583,-1.7762,-0.36175,-1.22741,-0.54753,0.923471221,3.295295172,NA,-1.49444,-0.322611353,2.192409402,1.74311,-0.28487,1.892365068,-1.50271,1.94747066,0.755647463,1.1875,-0.64555,2.503268461,-0.71086,2.48706665,0.45473,-0.00017,2.08235,-0.233123778,1.811240704,-0.64129,1.41617,1.63733187,-0.503044265,"Low_Fe"
1,7,0.302,"TuesAM.38",391916.3,6465432,115.8564667,-31.9419,12897083,-3755688,"Soil","Soil",418,6.1,3867.272912,NA,12.04577798,42.45024857,0.0746054,20424.24708,0.247246212,4.211935369,1.80222358,8.770997497,22.05857129,5170.430965,0.475017235,0.552672318,1.267055538,193.7745717,2.756848858,1049.464412,44.64893243,0.536035192,360.889831,8.956859665,NA,5.450693659,509.4204371,97.9796242,628.5403113,0.391481499,692.5074253,114.3053831,0.992818092,93.19599178,13.14548707,2.236295551,123.8965439,0.79951036,5.275988673,NA,-0.495601967,0.764016577,-5.579858579,6.940161866,-4.38168682,-1.546393941,-2.395294966,-0.812865651,0.109385056,5.566395132,-3.728720382,-3.577306197,-2.747620456,2.282379291,-1.970227881,3.971719038,0.814514206,-3.607871654,2.904256544,-0.791896509,NA,-1.288573313,3.248957491,1.60044335,3.459083974,-3.922133212,3.55600277,1.754557475,-2.991524013,1.550388523,-0.40823768,-2.179495466,1.835130703,-3.20807198,2.621176282,-0.02979,-0.02271,NA,1.080834854,-0.44753,-5.69764,7.91891,-1.32632,-0.38137,-0.72306,-0.45901,1.34357738,3.713526744,0.99042,-1.33299,0.102795651,2.287296786,2.04301,-0.2095,1.649811079,-1.23162,2.557374645,0.95215577,NA,-0.63264,2.707076364,-0.44054,2.798333136,0.65862,-0.00014,3.9993,-0.003130317,1.969397234,-0.5241,1.6075,2.093059192,-0.097175904,"Low_Fe"
1,8,0.313,"TuesAM.39",391935.3,6465423,115.8566667,-31.942,12897106,-3755700,"Soil","Soil",107.4,6.67,5579.052414,1.79338708,NA,9.097943231,0.04678029,1945.011646,0.031827224,4.281604771,NA,10.58476652,3.011908338,2871.609296,0.489073279,0.321493024,0.574682638,139.9105515,1.56060421,137.696595,25.19718638,0.20732514,69.92009312,6.412745364,0.971129821,1.933631594,96.66405586,7.905798557,72.77443776,0.449347084,826.8738445,8.91612824,1.486138909,73.4831921,7.06993948,0.82196989,11.70867489,1.510312274,6.567515608,-1.475152559,NA,0.148789755,-5.121551933,5.513764629,-5.506691869,-0.604930729,NA,0.300157232,-0.956684737,5.903369267,-2.774501561,-3.194038048,-2.613195939,2.881744686,-1.614185554,2.865794063,1.167473722,-3.632725608,2.188094448,-0.200971142,-2.088553736,-1.399858725,2.511983011,0.00833787,2.228106149,-2.859218289,4.658393523,0.128603184,-1.663077194,2.237798086,-0.103406695,-2.255310129,0.401071396,-1.646942181,2.031004281,-0.02505,-0.0192,-0.64641,NA,-0.62274,-7.79094,4.84998,-2.00717,-0.3772,NA,-0.42909,0.478841751,3.458125351,0.99079,-1.7333,-0.240571923,2.145850468,1.36828,-0.33066,1.401352048,-1.69163,1.844601998,0.807043995,0.98099,-0.83691,1.985265013,-0.69095,1.861978859,0.70032,-0.00011,1.89639,0.172059405,1.866188014,-0.6123,0.8908,1.068507747,0.179066752,"Low_Fe"
1,9,0.296,"TuesAM.40",391947.6,6465415,115.8567972,-31.9421,12897120,-3755709,"Soil","Soil",128.9,7.53,5675.031542,1.847835823,NA,16.1314604,0.052463514,15080.14173,0.032064297,4.764457139,0.770053217,11.60774388,7.226137561,4915.019949,1.066682186,0.312404467,0.98673785,126.7607256,2.130210154,442.1224366,45.63190095,0.306843558,116.4076211,8.771700215,0.579885023,4.066927937,175.4038766,29.03987352,119.6720314,0.472786096,821.1577503,70.23019948,1.868911384,94.52337928,12.91833603,1.278919899,31.62861399,1.117798722,6.198595918,-1.831220353,NA,0.335535945,-5.392872804,7.175898558,-5.885247593,-0.884051878,-2.706531136,0.006436969,-0.467530813,6.054815609,-2.380682412,-3.608692044,-2.45858636,2.397065777,-1.689014843,3.646351368,1.375371572,-3.626652726,2.311862524,-0.273704827,-2.990160913,-1.042347574,2.721855699,0.923434352,2.339519447,-3.194347703,4.265479753,1.806542928,-1.819879368,2.103611722,0.113412218,-2.199219589,1.008826735,-2.333874158,2.110252917,-0.01979,-0.01905,-0.63212,NA,-0.55075,-7.21452,7.43357,-2.00416,-0.35112,-1.1547,-0.41513,0.858906225,3.691525285,1.00084,-1.75756,-0.005798212,2.102984717,1.70362,-0.25442,1.659268561,-1.48396,2.065981414,0.943083781,0.69982,-0.6847,2.244039187,-0.54754,2.077992663,0.71635,-0.00011,3.46823,0.271588709,1.97553924,-0.52639,1.15616,1.500080161,0.048363609,"Low_Fe"
1,10,0.297,"TuesAM.41",391960,6465411,115.856925,-31.9421,12897134,-3755714,"Soil","Soil",262.5,6.93,7440.114743,6.629432357,NA,280.3526892,0.242810147,8023.413155,0.526916493,10.10211195,6.760454198,19.71394365,1879.924047,25726.40277,6.513962007,1.192869865,1.68814519,244.5721235,4.961745474,935.5619969,237.4398533,0.558626204,195.7407718,15.9847299,NA,21.16530602,637.368513,1232.754653,336.5222216,1.302591957,1185.478828,55.50104607,3.85186692,178.3784779,25.85649588,3.684296262,452.2365823,2.612048225,5.100068916,-1.923053451,NA,1.82147578,-5.230048064,5.175546556,-4.455285835,-1.501828129,-1.903482558,-0.83324645,3.72441402,6.340700454,-1.94062476,-3.63821058,-3.290942229,1.684937614,-2.212815046,3.02657478,1.655341708,-4.396847351,1.462218556,-1.042938749,NA,-0.762209302,2.642775367,3.302433865,2.00409155,-3.550216542,3.263329412,0.201829234,-2.46601469,1.369334939,-0.562010774,-2.510493101,2.29963282,-2.854437961,2.419129308,-0.02325,-0.01683,-0.24342,NA,-0.29852,-2.58296,6.51717,-1.13825,-0.21215,-0.34922,-0.34332,3.274140303,4.410379065,1.02453,-0.91807,0.227409796,2.388406954,3.09083,-0.21498,2.375553615,-1.21475,2.291681296,1.203705302,NA,-0.43861,2.804390605,-0.28012,2.527013747,1.12493,-7e-05,3.23749,0.585671274,2.251342454,-0.44231,2.15792,2.65536569,0.416981191,"High_Fe"
