ICPOES_ID,Sample_ID,Lab.Field.Group,Location,Group,Easting,Northing,E.approx,N.approx,EC,EC_units,pH,PO4.P,SO4.S,Sample,Al,As,B,Ba,Ca,Ce,Co,Cr,Cu,Fe,K,La,Li,Mg,Mn,Mo,Na,Ni,P,Pb,Rb,S,Se,Si,Sr,Ti,V,Y,Zn
ENVTXX61-OES-2024_63,2024-W05.01,ENVT3361-Group-01,Swan W,1,399886,6467953,399886,6467953,52.92,mS ,7.78,0.0083,1920.833,W05.01,0.042,0.004,2.68,0.057,348.1,NA,0.002,0.005,NA,0.028,331.5,0.006,0.191,1048.4,0.016,0.002,9805.8,0.001,0.059,0.004,0.349,721.1,0.012,2.61,7.357,NA,0.011,NA,NA
ENVTXX61-OES-2024_64,2024-W05.02,ENVT3361-Group-01,Swan W,1,399886,6467953,399886,6467953,52.47,mS ,7.78,0.0072,2167.424,W05.02,0.03,0.005,2.685,0.058,357.5,NA,0.003,0.004,NA,0.019,343.4,0.006,0.19,1074.9,0.014,0.003,10084,0,0.037,0.01,0.351,741.9,0.008,2.64,7.299,NA,0.01,NA,NA
ENVTXX61-OES-2024_65,2024-W05.03,ENVT3361-Group-01,Swan W,1,399895,6467958,399895,6467958,52.11,mS ,7.82,0.025,2564.773,W05.03,0.037,0.003,2.655,0.058,348.2,NA,0.002,0.005,NA,0.02,336.2,0.006,0.185,1053,0.014,0.003,9904.6,0.001,0.063,0.012,0.35,730.2,0.008,2.58,7.239,NA,0.008,NA,NA
ENVTXX61-OES-2024_66,2024-W05.04,ENVT3361-Group-01,Swan W,1,399895,6467958,399895,6467958,42.75,mS ,7.81,0.012,2135.227,W05.04,0.032,0.003,2.604,0.058,349.1,NA,0.002,0.006,NA,0.019,342.2,0.006,0.181,1063.3,0.015,0.003,9862.9,0.002,0.061,0.008,0.335,725.1,0.004,2.56,7.029,NA,0.009,NA,NA
ENVTXX61-OES-2024_67,2024-W05.05,ENVT3361-Group-01,Swan W,1,399904,6467961,399904,6467961,39.96,mS ,7.75,0.0078,1827.652,W05.05,0.059,0,2.689,0.058,355.2,NA,0.001,0.006,NA,0.016,345.6,0.006,0.189,1076.7,0.014,0.003,10151.9,0.002,0.053,0.009,0.347,741.7,0.004,2.59,7.317,NA,0.014,NA,NA
ENVTXX61-OES-2024_68,2024-W05.06,ENVT3361-Group-01,Swan W,1,399904,6467961,399904,6467961,42.48,mS ,7.87,0.0067,2176.894,W05.06,0.02,0.008,2.632,0.059,348.3,NA,0.003,0.005,0.001,0.018,339,0.006,0.18,1046.4,0.014,0.003,9801.2,0,0.056,0.013,0.346,722.5,0.011,2.6,7.073,NA,0.012,NA,NA
ENVTXX61-OES-2024_42,2024-W03.01,ENVT3361-Group-02,Kitchener mid S,2,399982,6468059,399982,6468059,48.8,mS,6.12,,NA,W03.01,0.108,0.01,2.647,0.085,407,NA,0.006,0.004,NA,25.783,380.7,0.007,0.169,1178.5,0.223,NA,11227.3,0.003,0.022,0.01,0.411,848.5,0.006,4.14,7.656,NA,0.011,NA,0.158
ENVTXX61-OES-2024_43,2024-W03.02,ENVT3361-Group-02,Kitchener mid S,2,399991,6468039,399991,6468039,49.5,mS,6.45,,NA,W03.02,0.088,0.012,2.666,0.065,384.8,NA,0.006,0.005,NA,15.264,372.1,0.006,0.173,1147.8,0.149,NA,10881.1,0.002,0.027,0.009,0.385,806.6,NA,3.68,7.434,NA,0.013,NA,0.016
ENVTXX61-OES-2024_44,2024-W03.03,ENVT3361-Group-02,Kitchener mid S,2,399997,6468026,399997,6468026,51.5,mS,6.16,,NA,W03.03,0.063,0.007,2.866,0.076,418.8,NA,0.006,0.005,NA,18.951,397.8,0.007,0.208,1228.1,0.247,NA,11548.6,0.003,0.019,0.011,0.426,896.8,0.002,3.84,8.379,NA,0.01,NA,0.001
ENVTXX61-OES-2024_45,2024-W03.04,ENVT3361-Group-02,Kitchener mid S,2,399997,6468021,399997,6468021,42.9,mS,6.38,,NA,W03.04,0.061,0.006,2.755,0.065,396,NA,0.002,0.005,NA,9.921,386.6,0.007,0.192,1187.7,0.162,0,11270.8,0.002,0.031,0.015,0.399,842.8,0.002,3.28,7.609,NA,0.01,NA,0.04
ENVTXX61-OES-2024_46,2024-W03.05,ENVT3361-Group-02,Kitchener mid S,2,399998,6468018,399998,6468018,50.1,mS,6.62,,NA,W03.05,0.051,0.005,2.597,0.089,409.2,NA,0.004,0.006,NA,5.314,360.5,0.007,0.167,1170.5,0.185,0.001,10830.8,0.001,0.013,0.015,0.381,823.2,0.01,3.68,7.812,NA,0.007,NA,0.065
ENVTXX61-OES-2024_47,2024-W03.06,ENVT3361-Group-02,Kitchener mid S,2,399999,6468011,399999,6468011,48.4,mS,6.86,,NA,W03.06,0.08,0.002,2.71,0.088,396.5,NA,0.005,0.006,NA,0.592,359.5,0.007,0.176,1153.9,0.176,0.001,10655.3,0.002,0.017,0.014,0.381,805.2,0.01,3.22,7.869,NA,0.012,NA,NA
ENVTXX61-OES-2024_48,2024-W19.01,ENVT3361-Group-03,Chapman Side,3,400110,6468049,400110,6468049,NA,,NA,,NA,W19.01,0.068,0.004,2.547,0.07,352.3,NA,0.003,0.006,NA,0.102,328.7,0.006,0.163,1036,0.172,0.002,9675.5,0.002,0.055,0.011,0.344,714.3,NA,3.03,6.77,NA,0.009,NA,NA
ENVTXX61-OES-2024_49,2024-W19.02,ENVT3361-Group-03,Chapman Side,3,NA,NA,400111,6468052,NA,,NA,,NA,W19.02,0.078,0.001,2.52,0.07,359.9,NA,0,0.005,NA,0.102,331.3,0.006,0.163,1047.9,0.17,0.002,9965.4,0.003,0.056,0.005,0.337,736.2,0.008,2.98,6.812,NA,0.01,NA,NA
ENVTXX61-OES-2024_50,2024-W19.03,ENVT3361-Group-03,Chapman Side,3,NA,NA,400109,6468055,NA,,NA,,NA,W19.03,0.073,0.003,2.52,0.072,351.9,NA,0.004,0.005,0,0.095,328.6,0.006,0.159,1038.4,0.179,0.003,9643.1,0.002,0.058,0.005,0.33,707.3,0.008,3.07,6.721,NA,0.012,NA,NA
